,precision,recall,f1-score,support
0,0.9702021447060274,0.5568820969967102,0.7076075963591415,56538.0
1,0.13762004750266774,0.8052366565961732,0.23506585136406397,4965.0
accuracy,0.5769312066078077,0.5769312066078077,0.5769312066078077,0.5769312066078077
macro avg,0.5539110961043475,0.6810593767964417,0.47133672386160275,61503.0
weighted avg,0.9029896491754894,0.5769312066078077,0.6694603553481248,61503.0
