,precision,recall,f1-score,support
0,0.9687915006640107,0.5161130567052248,0.6734519605806735,56538.0
1,0.12825415033616927,0.81067472306143,0.22147023219984593,4965.0
accuracy,0.5398923629741639,0.5398923629741639,0.5398923629741639,0.5398923629741639
macro avg,0.54852282550009,0.6633938898833274,0.4474610963902597,61503.0
weighted avg,0.900936795293903,0.5398923629741639,0.6369644838492814,61503.0
