model,threshold,roc_auc,precision_class_1,recall_class_1,f1_class_1
logistic,0.3,0.7421721301649664,0.1052826262859785,0.9172205438066465,0.18888428038158442
xgboost,0.3,0.7565502202851422,0.11300075585789872,0.9033232628398792,0.20087336244541484
logistic,0.4,0.7421721301649664,0.12825415033616927,0.81067472306143,0.22147023219984593
xgboost,0.4,0.7565502202851422,0.13762004750266774,0.8052366565961732,0.23506585136406397
xgboost,0.5,0.7565502202851422,0.16918935392117027,0.6708962739174219,0.2702308035533201
logistic,0.5,0.7421721301649664,0.1581455186544051,0.668479355488419,0.2557799013563502
